decision_id,recommendation_id,original_risk_level,final_risk_level,decision,reason,llm_reasoning,decided_at,decided_by,policy_version
c340b0f6,c3f3e159,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546154,governance_agent,v1.0
0973a4d3,4f29e021,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546210,governance_agent,v1.0
289c9714,359f2106,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546243,governance_agent,v1.0
b0cead9d,9753fc15,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546266,governance_agent,v1.0
6da9c97e,8dbd1685,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546283,governance_agent,v1.0
859a9240,29ce5f40,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546303,governance_agent,v1.0
fcfa99ac,0960c2dd,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546321,governance_agent,v1.0
9e967555,bb24f151,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546337,governance_agent,v1.0
fd7104a0,242ea99e,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546351,governance_agent,v1.0
056a7055,c01960c6,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546365,governance_agent,v1.0
4686c0f4,1071df8d,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546382,governance_agent,v1.0
302112df,c350f60e,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546399,governance_agent,v1.0
15bf10e2,8fe14bd5,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546416,governance_agent,v1.0
78b6d544,1de67d18,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546434,governance_agent,v1.0
deb84aa7,2149a6d7,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546450,governance_agent,v1.0
f58df45f,1f84d69c,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546463,governance_agent,v1.0
eaf1a373,13d16543,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546480,governance_agent,v1.0
bc835ac7,c35c2fd7,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546493,governance_agent,v1.0
7e63d383,1f507496,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546510,governance_agent,v1.0
142ceaed,b2fb8927,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546522,governance_agent,v1.0
15a93698,6dc6b7d7,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546535,governance_agent,v1.0
84c2eae2,0e4b215b,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546548,governance_agent,v1.0
c79b2b02,f56ad789,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546560,governance_agent,v1.0
1df5f3dc,fa94eb5a,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546576,governance_agent,v1.0
127f3f44,fe7fa8d2,low,low,approved,"Auto-approved: low risk, within policy bounds.",,2026-04-30 11:52:28.546592,governance_agent,v1.0
